Title,Parallel,Type,Rarity,Edition Size,Description,Ability,Cost,Attack,Health,Image URL,Token ID,Artist,mp_img_url
"Soleia, Discipile Of Gaffar",Earthen,Unit,Legendary,500,"Gaffar gave us his words of wisdom. Fear not the dark times, for I will show you their meaning.","At the end of your turn, if no combat damage was dealt this turn, you may pick a friendly unit to attack an enemy unit of your choice. It gains Armed and Evasive for this attack. Otherwise, draw a card.",5,4.0,4.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_SoleiaDiscipleOfGaffar/Ert_SoleiaDiscipleOfGaffar_Non_Lgn_Fe_Img.png,10111,@NACHOYAGUE,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_SoleiaDiscipleOfGaffar/Ert_SoleiaDiscipleOfGaffar_Non_Prm_Mp_Img.png
Reclamator,Augencore,Relic,Rare,"3,000","In space everything is precious. There's no such thing as scrap, just parts we don't know how to use yet.","After a friendly unit is destroyed on your turn, gain 1 energy. If it was upgraded, gain 2 energy instead. Limit once per turn.
After this card is banked, the next upgrade you play this turn costs 1 less.",4,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_Reclamator/Agc_Reclamator_Non_Rar_Fe_Img.png,10114,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_Reclamator/Agc_Reclamator_Non_Prm_Mp_Img.png
Enthalpy's Grasp,Shroud,Effect,Uncommon,"9,000",Crushing. Overwhelming. Few can resist.,Deal damage to target unit equal to the number of cards in your singularity.,2,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_EnthalpysGrasp/Shr_EnthalpysGrasp_Non_Ucm_Fe_Img.png,10117,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_EnthalpysGrasp/Shr_EnthalpysGrasp_Non_Prm_Mp_Img.png
Lancer Tank,Marcolian,Unit,Legendary,700,"Usually the thunder comes after the lightning, but if you find yourself against a column of Marcolian Lancers, you may not live long enough to hear the shot that killed you.","On attack, deal 4 damage to target enemy unit.
Assault: Deal 4 damage to the enemy.",5,5.0,5.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_LancerTank/Mcl_LancerTank_Non_Lgn_Fe_Img.png,10119,@CAFARO_OSCAR,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_LancerTank/Mcl_LancerTank_Non_Prm_Mp_Img.png
Solar Grenade,Marcolian,Effect,Rare,"3,100","“The heat kicked out by one of these things is enough to melt the armor on a Lancer Tank, so with that in mind, here is how you put the safety on.” - Marcolian Instructor","Deal 2 damage to two random enemy targets.
When this card is banked, deal 1 damage to a random enemy target.",4,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_SolarGrenade/Mcl_SolarGrenade_Non_Rar_Fe_Img.png,10133,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_SolarGrenade/Mcl_SolarGrenade_Non_Prm_Mp_Img.png
Strength Of Mars,Marcolian,Upgrade,Uncommon,"7,000",More than one Marcolian has overcome adversity by seeing the flag of Mars fly high across the Battlefield. You will be no different.,"When you are dealt damage, upgraded unit gains +1/+1.",1,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_StrengthOfMars/Mcl_StrengthOfMars_Non_Ucm_Fe_Img.png,10136,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_StrengthOfMars/Mcl_StrengthOfMars_Non_Prm_Mp_Img.png
Supply Drop,Marcolian,Effect,Common,"35,000","“The good news, HQ has dropped fresh rounds & rations for us. The bad news, they’ve landed about 3 kilometers into bandit territory.” - Unknown Marcolian Sergeant","Draw a card.
Assault: A unit in your hand gains Armed.",2,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_SupplyDrop/Mcl_SupplyDrop_Non_Cmn_Fe_Img.png,10139,@CAFARO_OSCAR,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_SupplyDrop/Mcl_SupplyDrop_Non_Prm_Mp_Img.png
Demolecularize,Shroud,Effect,Common,"32,000","The Shroud often leave behind no trace of their victims, no evidence, no clue as to their goals. Entire ships, gone in the blink of an eye.",Banish all units.,8,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_Demolecularize/Shr_Demolecularize_Non_Cmn_Fe_Img.png,10141,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_Demolecularize/Shr_Demolecularize_Non_Prm_Mp_Img.png
Genetic Correction,Kathari,Effect,Uncommon,"7,000",All will benefit from the advances of Kathari Bio-Science. Whether they are willing is another matter.,Transform target enemy unit into a copy of target friendly unit.,3,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_GeneticCorrection/Kat_GeneticCorrection_Non_Ucm_Fe_Img.png,10143,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_GeneticCorrection/Kat_GeneticCorrection_Non_Prm_Mp_Img.png
Paradox,Shroud,Relic,Rare,"2,000",Peering into the unusual artifact's depths provides an uncomfortable sense of being watched.,"After an enemy unit is destroyed, you may take 1 damage to banish it.",1,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_Paradox/Shr_Paradox_Non_Rar_Fe_Img.png,10150,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_Paradox/Shr_Paradox_Non_Prm_Mp_Img.png
Amperage,Augencore,Upgrade,Uncommon,"2,000","Sometimes, there is value to be found in going beyond the recommended limits.","When upgraded unit is destroyed, deal 1 damage to all enemy units and put this upgrade into your bank revealed instead of destroying it.",3,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_Amperage/Agc_Amperage_Non_Rar_Fe_Img.png,10153,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_Amperage/Agc_Amperage_Non_Prm_Mp_Img.png
Entropy's Reach,Shroud,Effect,Uncommon,"6,000",Immobilizing. Debilitating. Few can resist.,Add a copy of a revealed enemy bank card to your hand.,1,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_EntropysReach/Shr_EntropysReach_Non_Ucm_Fe_Img.png,10157,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_EntropysReach/Shr_EntropysReach_Non_Prm_Mp_Img.png
Life Well,Universal,Relic,Uncommon,"7,000","Not all that awaits explorers of deep space is horrifying. Much of what is waiting to be discovered is, in human terms, quite miraculous. Tonight we bathe in the cosmos itself.","At the start of each player’s turn, heal that player and all units they control for 1.",2,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_LifeWell/Unv_LifeWell_Non_Ucm_Fe_Img.png,10169,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_LifeWell/Unv_LifeWell_Non_Prm_Mp_Img.png
Manipulation Ray,Marcolian,Effect,Rare,"1,500","Originally developed with medical applications in mind, the combat medics of the Marcolian forces quickly found a more direct use for the technology.",Target unit attacks another target adjacent unit.,3,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_ManipulationRay/Mcl_ManipulationRay_Non_Rar_Fe_Img.png,10172,@NACHOYAGUE,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_ManipulationRay/Mcl_ManipulationRay_Non_Prm_Mp_Img.png
Master Poisoner,Universal,Unit,Rare,"2,000","“Anything can be bought for a price in the black market; exquisite gems, voyages to distant worlds, untraceable lethal doses of a variety of substances…”",Any unit dealt damage in combat is destroyed.,4,1.0,3.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_MasterPoisoner/Unv_MasterPoisoner_Non_Rar_Fe_Img.png,10175,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_MasterPoisoner/Unv_MasterPoisoner_Non_Prm_Mp_Img.png
Reality Manipulator,Shroud,Unit,Rare,"2,000",You can raise all the arms you want against me. The gifts of my master far outweigh the trinkets of yours.,"After this unit deals damage to the enemy, reveal a friendly banked card and draw a card. The two cards swap costs.",4,3.0,5.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_RealityManipulator/Shr_RealityManipulator_Non_Rar_Fe_Img.png,10178,@NACHOYAGUE,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_RealityManipulator/Shr_RealityManipulator_Non_Prm_Mp_Img.png
Nucleotic Synthesizer,Kathari,Relic,Rare,"1,500","Tenerus Gamma watched as the Gallian was pulled from the chamber. The hulking warrior sized her up as he rose to his feet. “You’re up, kid.”","The first time you bank a unit on your turn, this relic gains a counter.
Activate, remove 3 counters from this relic: Swap a card in your hand with a friendly banked unit. Reduce the cost of the unit put into your hand by 1.",1,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_NucleoticSynthesizer/Kat_NucleoticSynthesizer_Non_Rar_Fe_Img.png,10181,@CAFARO_OSCAR,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_NucleoticSynthesizer/Kat_NucleoticSynthesizer_Non_Prm_Mp_Img.png
Ocular Implant,Augencore,Upgrade,Common,"32,000",Never play an Augencore Warrior in a game of Poker.,"When upgraded unit attacks, draw a card.",1,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_OcularImplant/Agc_OcularImplant_Non_Cmn_Fe_Img.png,10184,@CAFARO_OSCAR,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_OcularImplant/Agc_OcularImplant_Non_Prm_Mp_Img.png
Earthbreaker Cannon,Marcolian,Unit,Legendary,800,"The ultimate expression of Marcolian firepower. Capable of interplanetary bombardment, Earthbreaker Cannons often win a battle without ever having to fire, such is their fearsome reputation. Troopers report never getting the hum of its particle accelerator ring out of their ears.","Assault: This unit gains Shielded.
After another friendly Vehicle enters the field, this unit deals 5 damage to any target.",6,7.0,4.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_EarthbreakerCannon/Mcl_EarthbreakerCannon_Non_Lgn_Fe_Img.png,10187,@CAFARO_OSCAR,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_EarthbreakerCannon/Mcl_EarthbreakerCannon_Non_Prm_Mp_Img.png
Change Of Heart,Earthen,Effect,Common,"25,000","Look around and see what we are fighting over. We feel it and we can control it, and you are now a part of it. Violence and anger are a stain upon this vista. Find your calm and lower your weapon. Be at peace.",Target unit gains Pacifist.,3,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_ChangeOfHeart/Ert_ChangeOfHeart_Ngt_Cmn_Fe_Img.png,10192,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_ChangeOfHeart/Ert_ChangeOfHeart_Non_Prm_Mp_Img.png
Change Of Heart,Earthen,Effect,Common,"25,000","Look around and see what we are fighting over. We feel it and we can control it, and you are now a part of it. Violence and anger are a stain upon this vista. Find your calm and lower your weapon. Be at peace.",Target unit gains Pacifist.,3,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_ChangeOfHeart/Ert_ChangeOfHeart_Day_Cmn_Fe_Img.png,10193,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_ChangeOfHeart/Ert_ChangeOfHeart_Non_Prm_Mp_Img.png
Collateral Damage,Universal,Effect,Common,"30,000","Try as we might, there will always be unwanted casualties of war. Ideally, more for them than for us.",Destroy target enemy relic.,2,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_CollateralDamage/Unv_CollateralDamage_Day_Cmn_Fe_Img.png,10199,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_CollateralDamage/Unv_CollateralDamage_Non_Prm_Mp_Img.png
Collateral Damage,Universal,Effect,Common,"30,000","Try as we might, there will always be unwanted casualties of war. Ideally, more for them than for us.",Destroy target enemy relic.,2,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_CollateralDamage/Unv_CollateralDamage_Ngt_Cmn_Fe_Img.png,10200,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_CollateralDamage/Unv_CollateralDamage_Non_Prm_Mp_Img.png
Repurposed Hardware,Marcolian,Effect,Uncommon,"3,000","Those first years on Mars would have been the death of us, but our ingenuity and resourcefulness kept us alive. Now it will be our enemies' downfall.",Put target card on the field into the enemy bank.,4,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_RepurposedHardware/Mcl_RepurposedHardware_Day_Ucm_Fe_Img.png,10201,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_RepurposedHardware/Mcl_RepurposedHardware_Non_Prm_Mp_Img.png
Repurposed Hardware,Marcolian,Effect,Uncommon,"3,000","Those first years on Mars would have been the death of us, but our ingenuity and resourcefulness kept us alive. Now it will be our enemies' downfall.",Put target card on the field into the enemy bank.,4,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_RepurposedHardware/Mcl_RepurposedHardware_Ngt_Ucm_Fe_Img.png,10202,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_RepurposedHardware/Mcl_RepurposedHardware_Non_Prm_Mp_Img.png
Mechanize,Augencore,Effect,Rare,"2,000",We are masters of our own fate. We will advance beyond our mortal confines.,"Transform a friendly unit into an upgrade, then attach it to another friendly unit. The upgraded unit gains the transformed unit's attack, health, and abilities while it is attached. The upgraded unit immediately attacks. The enemy may give any unit they control Defender for this attack.",5,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_Mechanize/Agc_Mechanize_Non_Rar_Fe_Img.png,10207,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_Mechanize/Agc_Mechanize_Non_Prm_Mp_Img.png
Tabula Rasa,Kathari,Unit,Rare,"2,700","“Young one, what shall we grant you? Galli’s strength and poise? Aetio’s ingenuity? Or perhaps my dashing good looks?” - Hadrius Beta, 3rd Archivist",Muster: Spend your remaining energy and reveal a friendly banked unit with cost equal to the amount of energy spent. This unit transforms into a Clone copy of the revealed unit.,0,0.0,1.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_TabulaRasa/Kat_TabulaRasa_Non_Rar_Fe_Img.png,10210,@NACHOYAGUE,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_TabulaRasa/Kat_TabulaRasa_Non_Prm_Mp_Img.png
